category,period,name1,name2,value,lower,upper,chs_value,good_start_value,bad_start_value
loading,4,y3,fac1,1.419458,-inf,inf,1.419458,1.4,1.0
loading,4,y5,fac2,0.83681772,-inf,inf,0.83681772,0.8,1.0
loading,4,y6,fac2,0.5249411999999999,-inf,inf,0.5249411999999999,0.5,1.0
loading,4,Q1_fac1,fac1,0.93520167,-inf,inf,0.93520167,0.9,1.0
loading,5,y2,fac1,1.20739978,-inf,inf,1.20739978,1.2,1.0
loading,5,y3,fac1,1.43586124,-inf,inf,1.43586124,1.4,1.0
loading,5,y5,fac2,0.76476822,-inf,inf,0.76476822,0.8,1.0
loading,5,y6,fac2,0.60105183,-inf,inf,0.60105183,0.6,1.0
loading,5,Q1_fac1,fac1,0.93520167,-inf,inf,0.93520167,0.9,1.0
loading,6,y2,fac1,1.22402329,-inf,inf,1.22402329,1.2,1.0
loading,6,y3,fac1,1.42265974,-inf,inf,1.42265974,1.4,1.0
loading,6,y5,fac2,0.68885845,-inf,inf,0.68885845,0.7,1.0
loading,6,y6,fac2,0.61882325,-inf,inf,0.61882325,0.6,1.0
loading,6,Q1_fac1,fac1,0.93520167,-inf,inf,0.93520167,0.9,1.0
loading,7,y2,fac1,1.23608389,-inf,inf,1.23608389,1.2,1.0
loading,7,y3,fac1,1.47859872,-inf,inf,1.47859872,1.5,1.0
loading,7,y5,fac2,0.81524559,-inf,inf,0.81524559,0.8,1.0
loading,7,y6,fac2,0.57084593,-inf,inf,0.57084593,0.6,1.0
loading,7,Q1_fac1,fac1,0.93520167,-inf,inf,0.93520167,0.9,1.0
meas_sd,0,y1,-,0.50497719,-inf,inf,0.50497719,0.5,0.8
meas_sd,0,y2,-,0.50088168,-inf,inf,0.50088168,0.5,0.8
meas_sd,0,y3,-,0.48136282,-inf,inf,0.48136282,0.5,0.8
meas_sd,0,y4,-,0.53215346,-inf,inf,0.53215346,0.5,0.8
meas_sd,0,y5,-,0.47039143,-inf,inf,0.47039143,0.5,0.8
meas_sd,0,y6,-,0.48344469,-inf,inf,0.48344469,0.5,0.8
meas_sd,0,y7,-,0.47943359,-inf,inf,0.47943359,0.5,0.8
meas_sd,0,y8,-,0.53421227,-inf,inf,0.53421227,0.5,0.8
meas_sd,0,y9,-,0.50146093,-inf,inf,0.50146093,0.5,0.8
meas_sd,0,Q1_fac1,-,1.03957418,-inf,inf,1.03957418,1.0,0.8
meas_sd,1,y1,-,0.49105567,-inf,inf,0.49105567,0.5,0.8
meas_sd,1,y2,-,0.49870431,-inf,inf,0.49870431,0.5,0.8
meas_sd,1,y3,-,0.50514084,-inf,inf,0.50514084,0.5,0.8
meas_sd,1,y4,-,0.49743526,-inf,inf,0.49743526,0.5,0.8
meas_sd,1,y5,-,0.4994178,-inf,inf,0.4994178,0.5,0.8
meas_sd,1,y6,-,0.50424182,-inf,inf,0.50424182,0.5,0.8
meas_sd,1,Q1_fac1,-,1.03957418,-inf,inf,1.03957418,1.0,0.8
